,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,John Petty,32,6,14,.429,2,3,.667,4,11,.364,2,4,.500,0,4,4,3,1,1,2,0,18
1,Donta Hall,31,4,6,.667,4,6,.667,0,0,,1,2,.500,2,4,6,0,0,4,0,2,9
2,Dazon Ingram,30,3,10,.300,3,6,.500,0,4,.000,5,6,.833,3,5,8,1,2,0,2,5,11
3,Collin Sexton,29,6,11,.545,6,8,.750,0,3,.000,9,9,1.000,1,2,3,4,0,0,2,2,21
4,Braxton Key,20,0,2,.000,0,1,.000,0,1,.000,0,0,,2,2,4,2,2,0,3,1,0
5,Alex Reese,18,4,6,.667,2,2,1.000,2,4,.500,0,0,,2,0,2,0,0,1,0,2,10
6,Riley Norris,12,2,3,.667,2,2,1.000,0,1,.000,1,1,1.000,1,2,3,0,1,0,1,3,5
7,Avery Johnson Jr.,12,1,6,.167,1,2,.500,0,4,.000,0,0,,1,0,1,0,0,0,0,1,2
8,Daniel Giddens,8,2,3,.667,2,3,.667,0,0,,0,1,.000,1,2,3,0,0,2,2,4,4
9,Herbert Jones,8,0,1,.000,0,1,.000,0,0,,0,0,,0,0,0,2,0,0,1,1,0
