,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Jaylen Barford,32,9,17,.529,5,8,.625,4,9,.444,5,6,.833,4,6,10,1,0,0,2,2,27
1,Anton Beard,31,3,6,.500,1,3,.333,2,3,.667,2,4,.500,0,3,3,3,0,0,1,3,10
2,Daryl Macon,30,2,9,.222,1,6,.167,1,3,.333,8,10,.800,1,3,4,3,0,0,1,2,13
3,Daniel Gafford,28,8,11,.727,8,11,.727,0,0,,0,0,,5,7,12,1,0,1,1,3,16
4,Adrio Bailey,17,1,2,.500,1,2,.500,0,0,,0,0,,0,2,2,0,1,0,0,1,2
5,Arlando Cook,20,2,4,.500,2,4,.500,0,0,,0,2,.000,2,2,4,0,0,0,0,1,4
6,Darious Hall,13,2,4,.500,1,3,.333,1,1,1.000,1,2,.500,1,1,2,0,0,0,0,2,6
7,Trey Thompson,13,1,3,.333,1,3,.333,0,0,,0,0,,0,1,1,0,0,0,0,1,2
8,C.J. Jones,13,0,2,.000,0,0,,0,2,.000,0,0,,0,1,1,0,0,0,0,1,0
9,Gabe Osabuohien,3,0,2,.000,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0
