,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Dylan Windler,35,4,10,.400,3,5,.600,1,5,.200,4,6,.667,4,7,11,1,1,0,3,3,13
1,Kevin McClain,34,1,6,.167,0,2,.000,1,4,.250,2,4,.500,0,4,4,4,1,1,1,1,5
2,Amanze Egekeze,33,4,10,.400,3,6,.500,1,4,.250,4,4,1.000,0,5,5,1,2,0,2,3,13
3,Austin Luke,29,4,8,.500,1,1,1.000,3,7,.429,0,0,,0,2,2,5,0,0,5,2,11
4,Mack Mercer,8,0,5,.000,0,4,.000,0,1,.000,2,4,.500,1,2,3,1,1,0,0,1,2
5,Nick Hopkins,29,5,9,.556,1,1,1.000,4,8,.500,0,0,,2,3,5,1,1,0,0,4,14
6,Seth Adelsperger,13,3,6,.500,3,6,.500,0,0,,0,0,,1,2,3,0,0,0,0,1,6
7,Burton Sampson,11,0,1,.000,0,0,,0,1,.000,2,2,1.000,0,0,0,0,0,0,0,0,2
8,Michael Benkert,6,0,4,.000,0,1,.000,0,3,.000,0,0,,0,0,0,0,1,0,1,0,0
9,Tyler Hadden,2,0,1,.000,0,1,.000,0,0,,0,0,,0,0,0,0,0,1,1,1,0
