,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Stephen Brown,25,7,11,.636,5,6,.833,2,5,.400,4,5,.800,1,6,7,2,1,0,5,1,20
1,Nana Foulland,24,5,7,.714,5,7,.714,0,0,,5,10,.500,1,7,8,3,0,1,0,1,15
2,Kimbal MacKenzie,24,2,6,.333,1,3,.333,1,3,.333,4,4,1.000,2,0,2,3,0,0,1,1,9
3,Zach Thomas,21,4,7,.571,4,7,.571,0,0,,4,4,1.000,3,9,12,3,1,1,1,3,12
4,Avi Toomer,15,0,1,.000,0,0,,0,1,.000,2,2,1.000,0,1,1,2,0,1,0,2,2
5,Jimmy Sotos,21,0,1,.000,0,1,.000,0,0,,2,2,1.000,0,3,3,2,0,0,2,4,2
6,Nate Sestina,17,7,9,.778,5,6,.833,2,3,.667,2,5,.400,0,4,4,0,1,3,2,3,18
7,Nate Jones,15,2,4,.500,0,0,,2,4,.500,0,0,,0,5,5,1,1,1,1,0,6
8,Bruce Moore,13,0,5,.000,0,3,.000,0,2,.000,1,2,.500,1,3,4,0,0,2,0,4,1
9,John Meeks,9,1,1,1.000,1,1,1.000,0,0,,0,0,,0,1,1,1,0,0,1,1,2
10,Ben Robertson,7,1,3,.333,1,1,1.000,0,2,.000,0,0,,0,1,1,0,0,0,0,2,2
11,Paul Newman,5,2,3,.667,2,3,.667,0,0,,1,2,.500,1,1,2,0,0,0,0,0,5
12,Jordan Sechan,4,0,0,,0,0,,0,0,,0,0,,0,1,1,1,1,0,0,1,0
