,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Kelan Martin,31,6,15,.400,3,6,.500,3,9,.333,5,8,.625,3,6,9,1,0,1,2,1,20
1,Paul Jorgensen,31,5,8,.625,4,4,1.000,1,4,.250,3,5,.600,0,4,4,4,3,0,0,2,14
2,Tyler Wideman,22,6,7,.857,6,7,.857,0,0,,1,1,1.000,1,3,4,2,1,1,2,1,13
3,Kamar Baldwin,21,3,8,.375,2,4,.500,1,4,.250,0,1,.000,0,2,2,3,2,1,3,4,7
4,Sean McDermott,17,0,3,.000,0,0,,0,3,.000,0,0,,1,3,4,1,1,1,1,2,0
5,Aaron Thompson,24,3,7,.429,3,7,.429,0,0,,1,5,.200,0,3,3,5,2,0,2,3,7
6,Henry Baddley,22,2,3,.667,2,2,1.000,0,1,.000,2,3,.667,0,1,1,0,0,1,0,2,6
7,Nate Fowler,17,4,5,.800,3,3,1.000,1,2,.500,0,0,,2,2,4,1,0,1,0,3,9
8,Jerald Gillens-Butler,6,0,3,.000,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0
9,Joey Brunk,5,3,4,.750,3,4,.750,0,0,,0,0,,3,1,4,0,0,0,0,0,6
10,Christian David,4,0,1,.000,0,0,,0,1,.000,0,0,,0,1,1,0,0,0,1,0,0
