,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Blake Miles,35,4,8,.500,2,4,.500,2,4,.500,1,2,.500,0,3,3,4,1,0,2,2,11
1,Austin Cole,35,4,17,.235,3,8,.375,1,9,.111,2,2,1.000,1,2,3,2,3,0,2,0,11
2,Kyle Ferreira,33,6,14,.429,3,6,.500,3,8,.375,2,3,.667,1,4,5,2,1,0,4,3,17
3,KJ Moffett,27,3,5,.600,3,4,.750,0,1,.000,2,2,1.000,0,1,1,2,0,0,0,1,8
4,Connor Cole,21,0,1,.000,0,1,.000,0,0,,0,0,,2,1,3,1,1,0,0,2,0
5,Michael Wadsworth,15,2,4,.500,1,2,.500,1,2,.500,2,4,.500,1,1,2,1,0,1,0,0,7
6,Palmer Chaplin,11,1,5,.200,1,2,.500,0,3,.000,0,0,,0,3,3,1,0,0,1,2,2
7,Cole Thomas,6,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
8,Jerry Lawson,4,1,2,.500,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,0,0,2
9,Lukas Swidler,4,0,1,.000,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0
10,Rob Hunter,4,0,1,.000,0,1,.000,0,0,,0,0,,1,1,2,0,0,0,0,1,0
11,Jarrett Powers,3,0,1,.000,0,0,,0,1,.000,0,0,,0,0,0,0,0,0,2,1,0
12,Randy White,2,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
