,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Gary Clark,37,3,7,.429,2,3,.667,1,4,.250,4,4,1.000,1,7,8,3,3,1,0,3,11
1,Jacob Evans,35,4,10,.400,3,6,.500,1,4,.250,7,10,.700,4,3,7,3,2,1,4,4,16
2,Jarron Cumberland,34,7,17,.412,4,7,.571,3,10,.300,1,1,1.000,0,2,2,3,2,0,3,3,18
3,Kyle Washington,17,3,5,.600,3,4,.750,0,1,.000,0,1,.000,0,2,2,0,0,2,1,2,6
4,Justin Jenifer,11,0,0,,0,0,,0,0,,2,2,1.000,0,0,0,1,1,0,0,0,2
5,Cane Broome,28,7,10,.700,5,7,.714,2,3,.667,0,1,.000,0,2,2,1,0,0,2,1,16
6,Eliel Nsoseme,13,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,2,0
7,Nysier Brooks,9,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,1,1,3,0
8,Keith Williams,6,0,0,,0,0,,0,0,,1,2,.500,1,0,1,0,0,0,0,0,1
9,Trevor Moore,6,0,2,.000,0,1,.000,0,1,.000,0,0,,1,0,1,0,0,0,0,0,0
10,Tre Scott,4,1,1,1.000,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,1,2
