,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Tariq Simmons,25,2,10,.200,1,5,.200,1,5,.200,1,4,.250,3,2,5,5,0,1,1,2,6
1,Frankie Johnson,20,4,7,.571,4,6,.667,0,1,.000,1,1,1.000,0,1,1,1,0,0,1,3,9
2,Leandro Allende,19,1,4,.250,1,4,.250,0,0,,0,0,,2,3,5,1,1,0,0,1,2
3,Quayson Williams,14,0,3,.000,0,0,,0,3,.000,2,2,1.000,1,1,2,1,0,0,1,1,2
4,Zane Najdawi,6,0,3,.000,0,2,.000,0,1,.000,1,2,.500,0,1,1,0,0,0,0,1,1
5,Derek Webster Jr.,26,4,7,.571,4,7,.571,0,0,,2,6,.333,4,4,8,2,1,0,1,3,10
6,Matt Frierson,26,2,8,.250,0,0,,2,8,.250,0,0,,0,6,6,1,1,0,3,0,6
7,Kaelon Harris,20,4,8,.500,2,3,.667,2,5,.400,6,6,1.000,0,1,1,3,1,0,0,1,16
8,Hayden Brown,19,5,11,.455,5,8,.625,0,3,.000,2,3,.667,1,1,2,0,1,0,0,3,12
9,Rob Johnson,14,1,5,.200,1,5,.200,0,0,,1,3,.333,1,2,3,1,2,0,1,2,3
10,Kaiden Rice,9,1,2,.500,0,0,,1,2,.500,2,2,1.000,1,0,1,0,1,0,2,1,5
11,Alex Reed,2,0,1,.000,0,0,,0,1,.000,0,0,,0,0,0,0,1,0,0,0,0
