,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,McKinley Wright IV,37,8,15,.533,8,12,.667,0,3,.000,3,4,.750,3,0,3,5,2,0,5,2,19
1,George King,34,5,13,.385,1,4,.250,4,9,.444,4,6,.667,2,7,9,2,0,2,2,3,18
2,Deleon Brown,25,2,5,.400,2,3,.667,0,2,.000,1,2,.500,0,3,3,0,0,0,0,2,5
3,Tyler Bey,19,2,3,.667,2,2,1.000,0,1,.000,4,5,.800,1,6,7,0,0,1,1,0,8
4,Dallas Walton,19,0,4,.000,0,3,.000,0,1,.000,2,5,.400,2,5,7,1,0,3,2,3,2
5,Namon Wright,31,7,12,.583,5,9,.556,2,3,.667,3,4,.750,0,7,7,1,0,0,0,3,19
6,Dominique Collier,25,4,7,.571,1,2,.500,3,5,.600,0,0,,0,3,3,6,1,0,1,2,11
7,Lucas Siewert,16,1,3,.333,0,1,.000,1,2,.500,4,4,1.000,0,0,0,0,0,0,0,2,7
8,Lazar Nikolic,15,0,1,.000,0,0,,0,1,.000,1,2,.500,1,2,3,1,0,0,1,3,1
9,D'Shawn Schwartz,4,0,1,.000,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0
