,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Nate Hickman,33,5,9,.556,4,6,.667,1,3,.333,2,2,1.000,1,4,5,0,2,0,3,1,13
1,Mike Smith,31,5,14,.357,4,11,.364,1,3,.333,5,6,.833,0,3,3,6,1,0,4,4,16
2,Quinton Adlesh,31,4,10,.400,2,4,.500,2,6,.333,2,2,1.000,3,2,5,1,0,0,3,4,12
3,Lukas Meisner,29,3,6,.500,3,3,1.000,0,3,.000,2,2,1.000,1,8,9,0,0,0,2,3,8
4,Patrick Tape,11,2,2,1.000,2,2,1.000,0,0,,0,0,,1,3,4,0,0,0,0,4,4
5,Kyle Castlin,25,2,4,.500,2,4,.500,0,0,,1,1,1.000,0,0,0,0,0,0,1,1,5
6,Jaron Faulds,22,1,4,.250,1,4,.250,0,0,,0,0,,0,4,4,0,1,0,2,1,2
7,Gabe Stefanini,9,1,5,.200,1,4,.250,0,1,.000,0,0,,1,2,3,0,0,0,2,1,2
8,Myles Hanson,5,0,0,,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,2,0
9,Rodney Hunter,4,0,1,.000,0,0,,0,1,.000,0,0,,0,1,1,0,0,0,0,1,0
