,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Trey Brisco,25,1,5,.200,0,3,.000,1,2,.500,3,4,.750,1,5,6,1,1,0,2,2,6
1,Malik Johnson,21,2,8,.250,0,3,.000,2,5,.400,0,0,,0,1,1,3,0,0,2,4,6
2,B.J. Hamlet,20,6,13,.462,1,3,.333,5,10,.500,0,0,,0,1,1,0,0,0,2,2,17
3,Trey Radcliffe,20,4,9,.444,2,5,.400,2,4,.500,1,2,.500,0,4,4,3,2,0,3,3,11
4,Trey Shuff,17,1,2,.500,0,1,.000,1,1,1.000,0,2,.000,2,1,3,1,0,0,0,2,3
5,Darian Peterson,22,4,7,.571,1,3,.333,3,4,.750,0,0,,0,4,4,1,1,0,2,1,11
6,Brendon Chevannes,20,1,6,.167,1,5,.200,0,1,.000,0,1,.000,0,2,2,2,0,0,6,3,2
7,Jyles Webster,18,3,11,.273,3,11,.273,0,0,,1,2,.500,3,3,6,1,0,0,1,1,7
8,Cal Cistaro,13,1,3,.333,1,2,.500,0,1,.000,0,0,,0,3,3,1,1,1,2,1,2
9,Antonio Patterson,11,2,5,.400,2,4,.500,0,1,.000,0,0,,0,0,0,2,1,0,2,2,4
10,Colby Hill,5,0,1,.000,0,0,,0,1,.000,1,2,.500,0,1,1,0,0,0,0,0,1
11,Jafar Musa,4,0,1,.000,0,1,.000,0,0,,0,0,,1,0,1,0,0,0,0,0,0
12,David Bea Mulumba,4,0,2,.000,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0
