,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Jalen Adams,36,10,21,.476,6,11,.545,4,10,.400,1,3,.333,0,3,3,3,4,0,4,4,25
1,Antwoine Anderson,36,3,8,.375,2,4,.500,1,4,.250,3,5,.600,0,2,2,2,1,0,2,4,10
2,Terry Larrier,27,7,14,.500,5,10,.500,2,4,.500,2,2,1.000,1,1,2,0,0,0,2,2,18
3,Alterique Gilbert,17,0,5,.000,0,2,.000,0,3,.000,1,2,.500,0,1,1,0,0,0,1,1,1
4,Josh Carlton,16,0,0,,0,0,,0,0,,1,2,.500,1,1,2,2,0,0,4,2,1
5,Christian Vital,25,1,7,.143,1,3,.333,0,4,.000,4,4,1.000,2,2,4,1,2,0,0,3,6
6,Tyler Polley,15,1,2,.500,1,1,1.000,0,1,.000,0,0,,0,0,0,0,0,0,0,2,2
7,Mamadou Diarra,13,1,4,.250,1,4,.250,0,0,,2,4,.500,2,3,5,0,0,1,1,2,4
8,Isaiah Whaley,6,0,0,,0,0,,0,0,,0,0,,0,0,0,1,1,0,0,1,0
9,David Onuorah,5,0,0,,0,0,,0,0,,0,0,,0,2,2,0,0,0,0,4,0
10,Kwintin Williams,3,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0
11,Mike Noyes,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
