,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Lamar Morgan,34,1,6,.167,1,1,1.000,0,5,.000,5,6,.833,0,8,8,0,0,0,4,4,7
1,Tre' Thomas,29,3,11,.273,2,5,.400,1,6,.167,2,2,1.000,0,1,1,2,1,0,4,4,9
2,Karonn Davis,28,2,9,.222,2,6,.333,0,3,.000,1,2,.500,0,5,5,1,0,0,11,4,5
3,Adam Traore,22,0,2,.000,0,2,.000,0,0,,1,2,.500,1,6,7,1,0,1,2,5,1
4,Cedric Council Jr.,16,0,2,.000,0,2,.000,0,0,,0,0,,0,4,4,0,1,1,0,3,0
5,Keandre Fair,25,2,6,.333,0,3,.000,2,3,.667,0,0,,0,3,3,1,0,0,1,1,6
6,Jordan Hardwick,17,2,7,.286,2,6,.333,0,1,.000,0,0,,1,3,4,0,0,2,0,1,4
7,Chad Andrews-Fulton,14,1,2,.500,1,2,.500,0,0,,2,2,1.000,0,2,2,0,0,0,1,3,4
8,Blake Simpson,10,0,0,,0,0,,0,0,,2,2,1.000,0,1,1,0,0,1,0,1,2
9,Lucian Brownlee,5,0,2,.000,0,0,,0,2,.000,0,0,,0,0,0,1,0,0,2,0,0
