,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Gary Trent Jr.,30,6,10,.600,4,5,.800,2,5,.400,0,0,,0,4,4,5,2,0,1,2,14
1,Marvin Bagley III,29,7,16,.438,7,15,.467,0,1,.000,2,8,.250,9,6,15,1,1,0,4,1,16
2,Grayson Allen,29,4,12,.333,2,3,.667,2,9,.222,1,2,.500,0,4,4,4,1,0,0,3,11
3,Trevon Duval,26,5,8,.625,2,3,.667,3,5,.600,1,3,.333,1,0,1,3,3,0,1,4,14
4,Wendell Carter Jr.,16,4,6,.667,4,5,.800,0,1,.000,2,2,1.000,3,4,7,3,1,1,0,4,10
5,Justin Robinson,18,3,5,.600,0,0,,3,5,.600,1,2,.500,0,2,2,0,0,3,0,0,10
6,Alex O'Connell,16,3,3,1.000,1,1,1.000,2,2,1.000,0,1,.000,1,1,2,0,0,0,0,0,8
7,Jordan Goldwire,16,1,1,1.000,1,1,1.000,0,0,,0,0,,0,1,1,2,1,0,0,2,2
8,Jack White,13,0,1,.000,0,0,,0,1,.000,0,0,,1,1,2,2,2,1,0,0,0
9,Antonio Vrankovic,7,1,2,.500,1,2,.500,0,0,,0,0,,0,0,0,1,0,0,0,2,2
