,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Montell Goodwin,35,6,16,.375,2,7,.286,4,9,.444,0,0,,1,1,2,1,1,1,0,2,16
1,D'Angelo Jackson,31,3,10,.300,2,8,.250,1,2,.500,6,6,1.000,0,1,1,3,1,1,4,1,13
2,Jajuan Starks,26,3,9,.333,3,7,.429,0,2,.000,2,4,.500,1,4,5,1,0,0,2,2,8
3,Muusa Dama,26,1,7,.143,1,7,.143,0,0,,0,0,,2,3,5,0,0,2,0,5,2
4,Ray Crossland,23,1,6,.167,1,3,.333,0,3,.000,0,0,,0,3,3,0,0,0,1,5,2
5,Mack Smith,23,2,5,.400,2,3,.667,0,2,.000,0,0,,0,2,2,1,0,0,0,2,4
6,Aboubacar Diallo,14,2,3,.667,2,3,.667,0,0,,1,2,.500,3,3,6,0,0,1,0,2,5
7,Logan Koch,8,0,2,.000,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,1,1,0
8,Lucas Jones,5,0,0,,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0
9,Justice Green,3,0,3,.000,0,2,.000,0,1,.000,2,2,1.000,1,0,1,0,0,0,0,0,2
10,Michael Chavers,3,0,1,.000,0,0,,0,1,.000,0,0,,1,0,1,0,0,0,0,0,0
11,Shawn Wilson,2,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0
12,DeVantae' Price,1,0,1,.000,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0
