,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Devin Davis,30,4,9,.444,4,9,.444,0,0,,3,4,.750,1,8,9,2,0,0,1,3,11
1,Rob Gray Jr.,26,7,10,.700,5,8,.625,2,2,1.000,4,5,.800,0,4,4,2,2,0,4,2,20
2,Corey Davis Jr.,26,5,7,.714,0,0,,5,7,.714,1,1,1.000,0,0,0,3,0,0,0,1,16
3,Galen Robinson Jr.,25,3,7,.429,2,4,.500,1,3,.333,0,0,,0,1,1,4,2,0,3,1,7
4,Breaon Brady,14,5,8,.625,5,8,.625,0,0,,0,0,,4,4,8,1,0,0,1,3,10
5,Wes VanBeck,19,3,3,1.000,0,0,,3,3,1.000,1,1,1.000,1,3,4,2,0,0,2,3,10
6,Armoni Brooks,19,0,2,.000,0,1,.000,0,1,.000,0,2,.000,0,3,3,1,1,0,1,1,0
7,Fabian White Jr.,15,3,8,.375,3,8,.375,0,0,,2,3,.667,2,0,2,1,0,4,2,2,8
8,Nura Zanna,11,1,1,1.000,1,1,1.000,0,0,,2,3,.667,0,2,2,0,0,0,2,1,4
9,Chris Harris,6,1,1,1.000,1,1,1.000,0,0,,0,0,,1,2,3,0,0,1,1,2,2
10,Gabe Grant,5,0,2,.000,0,2,.000,0,0,,0,0,,0,1,1,0,0,1,0,0,0
11,Valentine Sangoyomi,2,0,0,,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0
12,Mike Adewunmi,2,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
