,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,RJ Cole,45,9,22,.409,5,10,.500,4,12,.333,7,9,.778,1,1,2,6,3,0,4,3,29
1,Zion Cousins,44,3,8,.375,3,8,.375,0,0,,6,8,.750,4,4,8,1,0,0,1,1,12
2,Charles Williams,43,11,18,.611,10,16,.625,1,2,.500,2,5,.400,1,3,4,1,1,2,1,2,25
3,Cameron Lewis,29,1,2,.500,1,2,.500,0,0,,1,1,1.000,3,4,7,1,0,1,2,4,3
4,Dalique Mingo,14,0,4,.000,0,4,.000,0,0,,2,2,1.000,0,2,2,0,2,0,1,2,2
5,Kyle Foster,26,2,7,.286,0,1,.000,2,6,.333,0,1,.000,0,3,3,1,0,0,1,0,6
6,Marcus Hall,12,1,2,.500,1,2,.500,0,0,,1,1,1.000,2,1,3,0,0,0,1,2,3
7,Michael Obindu,5,2,2,1.000,2,2,1.000,0,0,,0,0,,0,1,1,0,0,0,1,2,4
8,Jalen Jones,4,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,1,0,0,0
9,Nate Garvey,2,0,2,.000,0,2,.000,0,0,,0,0,,0,0,0,0,0,1,0,1,0
10,Ibrahim Dosunmu,0,0,0,,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0
