,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Jordan Bohannon,36,4,11,.364,1,3,.333,3,8,.375,0,0,,0,1,1,5,0,0,2,1,11
1,Tyler Cook,26,4,9,.444,4,9,.444,0,0,,0,0,,0,4,4,1,0,0,4,2,8
2,Luka Garza,24,4,9,.444,4,8,.500,0,1,.000,0,0,,2,2,4,1,0,2,1,3,8
3,Isaiah Moss,20,2,7,.286,1,4,.250,1,3,.333,2,2,1.000,1,2,3,0,0,1,0,1,7
4,Ahmad Wagner,13,1,2,.500,1,2,.500,0,0,,0,0,,0,1,1,0,0,0,0,3,2
5,Jack Nunge,21,6,12,.500,5,8,.625,1,4,.250,5,5,1.000,3,2,5,1,0,0,0,0,18
6,Nicholas Baer,16,1,1,1.000,0,0,,1,1,1.000,0,0,,1,2,3,2,1,1,2,2,3
7,Maishe Dailey,13,0,5,.000,0,2,.000,0,3,.000,1,2,.500,1,0,1,1,1,0,1,1,1
8,Cordell Pemsl,12,2,2,1.000,2,2,1.000,0,0,,0,0,,1,0,1,1,0,0,1,1,4
9,Ryan Kriener,10,1,1,1.000,1,1,1.000,0,0,,0,1,.000,0,1,1,0,0,0,0,2,2
10,Brady Ellingson,7,0,0,,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,2,0
11,Dom Uhl,2,0,0,,0,0,,0,0,,0,0,,0,1,1,0,0,0,1,0,0
