,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Luwane Pipkins,35,5,17,.294,4,11,.364,1,6,.167,2,3,.667,0,3,3,4,1,0,4,3,13
1,Carl Pierre,31,1,5,.200,1,3,.333,0,2,.000,3,4,.750,0,3,3,1,3,1,1,2,5
2,Malik Hines,25,3,6,.500,3,6,.500,0,0,,0,0,,4,3,7,0,1,1,1,2,6
3,Unique McLean,23,3,10,.300,2,8,.250,1,2,.500,0,0,,4,2,6,1,2,0,5,4,7
4,Chris Baldwin,16,2,5,.400,2,4,.500,0,1,.000,0,2,.000,3,3,6,0,0,0,1,4,4
5,C.J. Anderson,31,3,10,.300,1,6,.167,2,4,.500,2,4,.500,2,2,4,0,0,0,5,1,10
6,Rayshawn Miller,27,1,4,.250,0,1,.000,1,3,.333,1,2,.500,0,1,1,1,0,0,1,2,4
7,Khalea Turner-Morris,8,1,1,1.000,1,1,1.000,0,0,,0,0,,0,4,4,0,0,0,0,1,2
8,Jaylen Franklin,3,0,1,.000,0,1,.000,0,0,,0,0,,0,0,0,1,0,0,0,0,0
9,Mike Gillespie,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
