,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Muhammad-Ali Abdur-Rahkman,32,7,7,1.000,5,5,1.000,2,2,1.000,4,5,.800,0,3,3,2,0,1,1,1,20
1,Charles Matthews,29,9,15,.600,9,12,.750,0,3,.000,0,0,,2,5,7,3,0,1,4,2,18
2,Duncan Robinson,28,5,10,.500,3,4,.750,2,6,.333,0,0,,0,6,6,1,0,1,0,1,12
3,Eli Brooks,23,0,2,.000,0,0,,0,2,.000,0,0,,1,1,2,1,1,0,1,0,0
4,Moritz Wagner,20,3,7,.429,2,4,.500,1,3,.333,0,0,,1,5,6,1,0,2,4,1,7
5,Zavier Simpson,17,1,2,.500,1,1,1.000,0,1,.000,0,0,,0,3,3,5,0,0,1,0,2
6,Jon Teske,17,1,3,.333,1,3,.333,0,0,,0,2,.000,2,4,6,0,1,0,2,1,2
7,Jordan Poole,12,3,5,.600,1,1,1.000,2,4,.500,2,2,1.000,1,1,2,0,1,0,1,1,10
8,Isaiah Livers,12,1,1,1.000,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2
9,Ibi Watson,4,1,3,.333,0,1,.000,1,2,.500,0,0,,0,0,0,0,0,0,0,0,3
10,Austin Davis,3,0,0,,0,0,,0,0,,0,0,,0,2,2,0,0,0,0,0,0
11,Jaaron Simmons,3,0,0,,0,0,,0,0,,0,0,,0,1,1,2,0,0,0,0,0
