,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Miles Bridges,26,4,9,.444,2,4,.500,2,5,.400,1,2,.500,1,4,5,2,2,1,1,3,11
1,Cassius Winston,25,3,8,.375,2,5,.400,1,3,.333,0,1,.000,1,4,5,7,2,0,4,3,7
2,Joshua Langford,23,8,11,.727,3,4,.750,5,7,.714,2,2,1.000,0,4,4,0,0,0,3,4,23
3,Nick Ward,20,3,8,.375,3,8,.375,0,0,,1,2,.500,4,4,8,1,1,4,4,2,7
4,Jaren Jackson Jr.,17,1,6,.167,0,3,.000,1,3,.333,0,0,,2,3,5,2,1,2,3,3,3
5,Lourawls Nairn Jr.,27,1,3,.333,1,2,.500,0,1,.000,1,2,.500,0,2,2,3,0,0,1,1,3
6,Matt McQuaid,22,1,6,.167,0,0,,1,6,.167,4,4,1.000,1,1,2,0,0,0,2,3,7
7,Ben Carter,14,0,0,,0,0,,0,0,,0,0,,1,3,4,1,1,0,1,1,0
8,Gavin Schilling,10,1,2,.500,1,2,.500,0,0,,0,0,,0,5,5,0,0,0,1,0,2
9,Xavier Tillman,10,0,1,.000,0,1,.000,0,0,,0,0,,0,4,4,0,0,0,1,2,0
10,Conner George,6,0,1,.000,0,0,,0,1,.000,0,0,,0,0,0,0,0,0,1,1,0
