,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Jordan Barnett,40,5,12,.417,3,6,.500,2,6,.333,7,7,1.000,3,7,10,0,0,1,2,1,19
1,Kassius Robertson,38,7,18,.389,4,6,.667,3,12,.250,5,7,.714,0,3,3,1,0,0,2,3,22
2,Jeremiah Tilmon,32,3,5,.600,3,5,.600,0,0,,1,2,.500,4,3,7,1,2,2,2,3,7
3,Kevin Puryear,27,2,4,.500,2,2,1.000,0,2,.000,2,2,1.000,1,2,3,1,0,0,1,2,6
4,Blake Harris,22,4,9,.444,4,8,.500,0,1,.000,2,3,.667,1,3,4,2,1,0,3,3,10
5,Jontay Porter,17,0,4,.000,0,1,.000,0,3,.000,0,0,,1,4,5,0,2,1,4,2,0
6,Terrence Phillips,15,0,2,.000,0,0,,0,2,.000,0,0,,2,1,3,2,0,0,3,5,0
7,Jordan Geist,7,0,1,.000,0,0,,0,1,.000,0,0,,0,1,1,0,0,0,4,1,0
8,Reed Nikko,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0
9,Cullen VanLeer,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
