,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Jarrid Rhodes,35,4,9,.444,1,5,.200,3,4,.750,1,2,.500,1,5,6,1,1,0,1,0,12
1,Obediah Church,33,5,7,.714,5,7,.714,0,0,,3,5,.600,1,7,8,3,1,3,0,2,13
2,Alize Johnson,29,5,9,.556,5,7,.714,0,2,.000,2,3,.667,2,12,14,4,0,0,4,2,12
3,Jarred Dixon,24,3,6,.500,2,5,.400,1,1,1.000,2,2,1.000,0,4,4,2,1,1,3,4,9
4,Ryan Kreklow,22,3,6,.500,1,1,1.000,2,5,.400,0,0,,0,1,1,1,2,0,1,4,8
5,Ronnie Rousseau III,33,3,10,.300,3,8,.375,0,2,.000,0,2,.000,1,0,1,3,0,1,1,3,6
6,Ross Owens,10,1,3,.333,1,1,1.000,0,2,.000,0,0,,1,1,2,0,0,0,0,2,2
7,Reggie Scurry,8,1,4,.250,1,4,.250,0,0,,0,0,,1,1,2,0,0,1,0,1,2
8,Abdul Fofana,6,1,2,.500,1,2,.500,0,0,,0,0,,1,0,1,0,0,0,1,2,2
9,Mustafa Lawrence,0,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
