,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Anthony Tarke,33,2,12,.167,1,6,.167,1,6,.167,0,2,.000,1,4,5,1,0,0,2,1,5
1,Abdul Lewis,31,4,9,.444,4,6,.667,0,3,.000,2,4,.500,0,5,5,2,0,0,5,4,10
2,Shyquan Gibbs,28,2,2,1.000,1,1,1.000,1,1,1.000,2,2,1.000,1,3,4,1,0,0,3,1,7
3,Reilly Walsh,17,1,1,1.000,1,1,1.000,0,0,,0,0,,0,2,2,1,1,0,1,3,2
4,Diandre Wilson,15,2,7,.286,1,4,.250,1,3,.333,0,0,,1,2,3,0,0,0,2,3,5
5,Chris Jenkins,20,3,7,.429,0,0,,3,7,.429,0,0,,1,0,1,1,1,0,0,0,9
6,Zach Cooks,15,2,5,.400,1,2,.500,1,3,.333,0,0,,0,1,1,1,0,0,1,4,5
7,Mohamed Bendary,12,1,2,.500,1,2,.500,0,0,,0,0,,0,2,2,1,0,0,0,3,2
8,David Kachelries,8,3,3,1.000,2,2,1.000,1,1,1.000,0,0,,0,0,0,1,0,0,2,0,7
9,San Antonio Brinson,7,0,1,.000,0,0,,0,1,.000,1,2,.500,0,1,1,0,0,0,0,1,1
10,Shawndale Jones,7,0,3,.000,0,2,.000,0,1,.000,0,0,,1,0,1,0,0,0,1,0,0
11,Donovan Greer,6,0,2,.000,0,1,.000,0,1,.000,0,0,,1,1,2,0,0,0,1,1,0
12,Taj Price,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,0,0
