,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Luke Maye,32,7,13,.538,6,10,.600,1,3,.333,2,2,1.000,5,6,11,2,2,0,2,1,17
1,Theo Pinson,32,4,9,.444,3,8,.375,1,1,1.000,2,4,.500,3,7,10,4,3,0,3,2,11
2,Joel Berry II,31,3,17,.176,2,9,.222,1,8,.125,9,10,.900,2,6,8,2,0,0,2,3,16
3,Cameron Johnson,31,6,12,.500,4,8,.500,2,4,.500,2,2,1.000,1,2,3,1,1,0,0,2,16
4,Kenny Williams,29,2,6,.333,2,2,1.000,0,4,.000,1,2,.500,1,2,3,5,0,0,2,3,5
5,Sterling Manley,12,4,4,1.000,4,4,1.000,0,0,,1,2,.500,2,1,3,0,0,0,0,0,9
6,Garrison Brooks,8,0,0,,0,0,,0,0,,2,2,1.000,1,0,1,1,0,0,3,1,2
7,Jalek Felton,8,1,3,.333,1,2,.500,0,1,.000,0,0,,0,0,0,2,1,0,1,0,2
8,Brandon Robinson,8,0,1,.000,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0
9,Andrew Platek,4,0,0,,0,0,,0,0,,0,0,,1,2,3,0,1,0,0,0,0
10,Kane Ma,1,1,1,1.000,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2
11,Walker Miller,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
12,Aaron Rohlman,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
13,Shea Rush,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0
14,Brandon Huffman,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
