,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Devonte Boykins,38,4,13,.308,3,5,.600,1,8,.125,0,0,,1,0,1,2,0,0,1,3,9
1,Kameron Langley,37,2,2,1.000,1,1,1.000,1,1,1.000,0,0,,1,2,3,6,1,0,1,1,5
2,Femi Olujobi,34,9,14,.643,9,13,.692,0,1,.000,5,5,1.000,5,6,11,3,2,1,2,2,23
3,Japhet Kadji,26,3,6,.500,3,3,1.000,0,3,.000,0,0,,0,5,5,0,2,1,2,3,6
4,Kwei Lartey,19,1,5,.200,0,2,.000,1,3,.333,0,0,,0,1,1,2,0,0,1,1,3
5,Milik Gantz,13,5,7,.714,5,5,1.000,0,2,.000,1,2,.500,1,3,4,1,2,0,3,3,11
6,Davaris McGowens,11,1,2,.500,1,2,.500,0,0,,0,0,,1,1,2,1,0,0,0,1,2
7,Denzel Keyes,10,0,1,.000,0,1,.000,0,0,,0,0,,0,1,1,0,1,0,0,2,0
8,Raymon Pratt,6,0,3,.000,0,2,.000,0,1,.000,1,2,.500,0,0,0,0,0,0,3,1,1
9,Aaren Edmead,5,0,3,.000,0,1,.000,0,2,.000,0,0,,0,0,0,0,0,0,0,1,0
10,Amari Hamilton,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
