,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Raasean Davis,39,10,14,.714,10,14,.714,0,0,,1,4,.250,1,4,5,1,0,0,3,3,21
1,Reginald Gardner,27,6,17,.353,1,1,1.000,5,16,.313,0,0,,0,1,1,1,0,0,0,3,17
2,Zacarry Douglas,27,5,8,.625,2,4,.500,3,4,.750,2,2,1.000,0,5,5,2,0,0,1,2,15
3,C.J. Wiggins,16,0,3,.000,0,3,.000,0,0,,0,0,,0,0,0,5,0,0,1,0,0
4,Brandon Goldsmith,13,0,0,,0,0,,0,0,,0,0,,0,2,2,2,1,0,0,2,0
5,Jordan Perkins,24,2,6,.333,2,6,.333,0,0,,0,0,,2,2,4,4,1,1,1,1,4
6,Alston Jones,22,2,4,.500,2,4,.500,0,0,,0,2,.000,1,4,5,3,0,0,3,2,4
7,Larry McKnight,18,7,7,1.000,4,4,1.000,3,3,1.000,2,2,1.000,1,2,3,1,0,0,1,1,19
8,Dominique Reid,7,1,2,.500,0,1,.000,1,1,1.000,1,2,.500,1,1,2,0,0,0,0,1,4
9,Pablo Rivas,7,0,1,.000,0,0,,0,1,.000,0,0,,0,1,1,0,0,0,2,2,0
