,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Jordy Kuiper,28,3,7,.429,0,1,.000,3,6,.500,0,0,,1,7,8,1,1,0,1,1,9
1,James Dickey,28,1,5,.200,1,5,.200,0,0,,0,0,,4,7,11,1,1,5,5,1,2
2,Francis Alonso,24,5,10,.500,2,4,.500,3,6,.500,3,4,.750,0,1,1,1,0,0,1,2,16
3,Demetrius Troy,23,2,7,.286,1,1,1.000,1,6,.167,0,1,.000,0,2,2,6,1,0,5,1,5
4,Marvin Smith,20,4,11,.364,2,4,.500,2,7,.286,0,0,,0,2,2,1,1,0,3,3,10
5,Kyrin Galloway,19,4,6,.667,4,4,1.000,0,2,.000,3,7,.429,3,2,5,0,0,0,1,3,11
6,Isaiah Miller,16,3,8,.375,3,7,.429,0,1,.000,0,0,,2,2,4,0,0,0,0,3,6
7,Malik Massey,15,2,4,.500,1,1,1.000,1,3,.333,2,2,1.000,0,0,0,1,3,0,0,1,7
8,Justin Jordan,12,0,0,,0,0,,0,0,,0,0,,0,2,2,1,4,0,1,0,0
9,Kylia Sykes,10,0,2,.000,0,0,,0,2,.000,0,0,,1,0,1,3,1,0,1,1,0
10,Lloyd Burgess,3,0,0,,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0
11,Garrett Collins,2,2,2,1.000,1,1,1.000,1,1,1.000,0,0,,0,2,2,0,0,1,0,1,5
