,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Eugene German,31,7,17,.412,6,12,.500,1,5,.200,2,4,.500,0,3,3,5,0,0,0,1,17
1,Dante Thorpe,28,6,10,.600,5,9,.556,1,1,1.000,1,2,.500,1,1,2,0,2,0,1,0,14
2,Levi Bradley,27,4,8,.500,3,6,.500,1,2,.500,5,5,1.000,0,7,7,0,1,1,4,5,14
3,Lacey James,24,3,8,.375,3,8,.375,0,0,,1,3,.333,2,2,4,0,1,0,1,2,7
4,Justin Thomas,15,2,4,.500,2,2,1.000,0,2,.000,0,1,.000,0,1,1,3,0,0,1,3,4
5,Anastasios Demogerontas,22,4,5,.800,3,4,.750,1,1,1.000,4,4,1.000,2,3,5,2,1,0,0,1,13
6,Gairges Daow,20,2,5,.400,0,2,.000,2,3,.667,0,2,.000,1,1,2,0,0,0,0,1,6
7,Noah McCarty,13,0,2,.000,0,1,.000,0,1,.000,0,0,,1,1,2,0,0,0,0,3,0
8,Andrew Zelis,8,1,1,1.000,1,1,1.000,0,0,,0,0,,0,2,2,0,0,1,1,1,2
9,Rod Henry-Hayes,8,0,0,,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,1,0
10,Jon Siu,2,1,2,.500,0,0,,1,2,.500,0,0,,0,0,0,0,0,0,0,0,3
11,Owen Hamilton,2,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0
