,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Ryan Betley,35,5,9,.556,2,3,.667,3,6,.500,3,5,.600,0,5,5,2,0,1,2,4,16
1,AJ Brodeur,30,7,15,.467,7,13,.538,0,2,.000,1,2,.500,4,1,5,3,0,0,2,2,15
2,Antonio Woods,29,3,4,.750,2,3,.667,1,1,1.000,0,2,.000,0,5,5,1,1,0,1,2,7
3,Darnell Foreman,27,2,8,.250,2,5,.400,0,3,.000,1,3,.333,2,5,7,1,1,0,0,0,5
4,Max Rothschild,23,3,7,.429,3,7,.429,0,0,,2,2,1.000,1,5,6,1,2,0,4,3,8
5,Caleb Wood,26,4,10,.400,2,5,.400,2,5,.400,0,0,,0,1,1,1,1,0,0,1,10
6,Jackson Donahue,18,1,4,.250,0,0,,1,4,.250,0,0,,0,2,2,1,0,0,1,1,3
7,Sam Jones,8,3,5,.600,0,1,.000,3,4,.750,0,0,,0,3,3,0,0,0,0,2,9
8,Devon Goodman,2,0,1,.000,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0
9,Jarrod Simmons,2,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
