,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Kyron Cartwright,45,7,16,.438,4,11,.364,3,5,.600,2,2,1.000,0,2,2,6,0,0,1,2,19
1,Rodney Bullock,40,3,11,.273,1,5,.200,2,6,.333,2,2,1.000,1,2,3,2,1,1,3,3,10
2,Jalen Lindsey,40,0,7,.000,0,0,,0,7,.000,2,2,1.000,1,3,4,2,1,0,1,2,2
3,Alpha Diallo,33,8,17,.471,8,14,.571,0,3,.000,6,7,.857,5,5,10,2,2,0,3,3,22
4,Kalif Young,8,1,1,1.000,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,1,0,2
5,Isaiah Jackson,20,1,3,.333,0,2,.000,1,1,1.000,0,0,,1,2,3,2,0,1,0,2,3
6,Drew Edwards,19,1,2,.500,1,1,1.000,0,1,.000,1,1,1.000,1,2,3,0,2,1,0,1,3
7,Nate Watson,10,2,4,.500,2,4,.500,0,0,,1,1,1.000,0,0,0,0,0,1,1,2,5
8,Maliek White,5,0,0,,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0
9,Makai Ashton-Langford,5,0,0,,0,0,,0,0,,0,0,,0,0,0,1,0,0,1,1,0
