,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Donald Hicks,29,5,14,.357,2,5,.400,3,9,.333,2,2,1.000,2,3,5,2,0,0,2,0,15
1,"Ed Polite, Jr.",27,1,4,.250,1,3,.333,0,1,.000,2,2,1.000,0,4,4,3,0,2,0,4,4
2,Justin Cousin,20,5,10,.500,0,0,,5,10,.500,0,0,,0,0,0,0,0,0,0,1,15
3,Christian Bradford,18,1,4,.250,0,1,.000,1,3,.333,0,0,,1,1,2,4,0,0,0,0,3
4,Randy Phillips,16,1,1,1.000,1,1,1.000,0,0,,0,0,,2,1,3,0,0,0,2,3,2
5,Carlik Jones,21,3,8,.375,3,5,.600,0,3,.000,2,2,1.000,0,8,8,2,0,0,0,0,8
6,Travis Fields Jr.,16,2,4,.500,1,2,.500,1,2,.500,0,0,,0,0,0,0,2,0,0,3,5
7,Devonnte Holland,15,1,2,.500,1,2,.500,0,0,,0,0,,0,1,1,1,1,2,4,3,2
8,Caleb Tanner,13,4,7,.571,2,3,.667,2,4,.500,0,0,,0,1,1,1,1,0,0,1,10
9,Leroy Butts IV,10,2,2,1.000,1,1,1.000,1,1,1.000,0,0,,1,1,2,0,0,0,0,1,5
10,Darius Bolstad,8,1,2,.500,1,2,.500,0,0,,0,0,,0,1,1,0,0,0,1,1,2
11,Devin Cooper,7,1,2,.500,0,1,.000,1,1,1.000,0,0,,0,3,3,1,0,0,0,1,3
