,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Akwasi Yeboah,35,5,11,.455,3,4,.750,2,7,.286,8,9,.889,1,4,5,4,1,0,4,1,20
1,UC Iroegbu,30,3,8,.375,1,2,.500,2,6,.333,0,4,.000,0,6,6,1,2,1,0,1,8
2,Jaron Cornish,26,4,8,.500,2,3,.667,2,5,.400,1,2,.500,0,2,2,1,1,1,3,3,11
3,Junior Saintel,26,5,8,.625,5,7,.714,0,1,.000,0,0,,0,6,6,0,0,1,3,4,10
4,Tyrell Sturdivant,22,1,5,.200,0,0,,1,5,.200,0,0,,1,6,7,2,2,1,4,1,3
5,Elijah Olaniyi,21,1,4,.250,1,2,.500,0,2,.000,0,1,.000,1,1,2,2,0,0,0,3,2
6,Jordan McKenzie,18,2,3,.667,2,3,.667,0,0,,0,0,,0,1,1,1,0,0,1,1,4
7,Anthony Ochefu,11,2,3,.667,2,3,.667,0,0,,0,0,,1,3,4,1,0,0,1,2,4
8,Jakub Petras,7,0,2,.000,0,2,.000,0,0,,0,0,,0,0,0,0,0,0,0,1,0
9,Andrew Garcia,4,0,2,.000,0,2,.000,0,0,,1,2,.500,1,1,2,0,0,0,1,2,1
