,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Grant Williams,34,7,10,.700,7,10,.700,0,0,,8,9,.889,2,3,5,1,0,2,1,3,22
1,Jordan Bowden,34,4,12,.333,0,2,.000,4,10,.400,2,3,.667,2,3,5,3,2,0,1,1,14
2,Admiral Schofield,34,6,9,.667,5,6,.833,1,3,.333,0,2,.000,1,3,4,2,1,0,2,3,13
3,Jordan Bone,15,1,3,.333,1,3,.333,0,0,,0,0,,0,3,3,4,0,0,0,1,2
4,Kyle Alexander,9,0,0,,0,0,,0,0,,0,2,.000,0,1,1,0,1,1,1,3,0
5,James Daniel III,26,1,6,.167,0,0,,1,6,.167,2,2,1.000,0,0,0,0,1,0,4,0,5
6,Lamonte Turner,25,3,6,.500,1,1,1.000,2,5,.400,0,0,,0,5,5,2,1,0,2,4,8
7,John Fulkerson,7,2,3,.667,2,3,.667,0,0,,0,0,,1,0,1,0,0,1,0,0,4
8,Chris Darrington,7,0,0,,0,0,,0,0,,1,2,.500,1,0,1,0,0,0,0,1,1
9,Derrick Walker,5,0,1,.000,0,1,.000,0,0,,1,2,.500,1,1,2,0,0,0,2,1,1
10,Yves Pons,4,0,0,,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0
