,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Justin Bibbins,35,4,8,.500,3,3,1.000,1,5,.200,0,1,.000,0,5,5,3,1,0,1,2,9
1,Sedrick Barefield,33,2,11,.182,1,5,.200,1,6,.167,0,0,,0,2,2,8,1,0,1,1,5
2,Tyler Rawson,31,5,9,.556,3,3,1.000,2,6,.333,0,0,,2,3,5,1,0,2,1,3,12
3,Gabe Bealer,27,4,4,1.000,2,2,1.000,2,2,1.000,0,0,,0,3,3,1,0,0,1,2,10
4,David Collette,20,5,13,.385,4,11,.364,1,2,.500,6,7,.857,0,0,0,1,0,0,0,4,17
5,Donnie Tillman,22,4,7,.571,3,4,.750,1,3,.333,2,3,.667,3,7,10,0,1,1,0,1,11
6,Jayce Johnson,15,4,7,.571,4,7,.571,0,0,,2,2,1.000,1,4,5,0,0,2,0,4,10
7,Parker Van Dyke,5,1,3,.333,0,0,,1,3,.333,0,0,,0,0,0,0,0,0,0,1,3
8,Kolbe Caldwell,5,0,1,.000,0,0,,0,1,.000,0,0,,0,1,1,0,0,0,1,1,0
9,Chris Seeley,3,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0
10,Jake Connor,2,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
11,Marc Reininger,2,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
