,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Riley LaChance,30,3,11,.273,2,5,.400,1,6,.167,1,2,.500,0,3,3,0,0,0,0,0,8
1,Jeff Roberson,29,2,10,.200,2,5,.400,0,5,.000,4,5,.800,2,1,3,1,2,1,2,3,8
2,Maxwell Evans,27,0,6,.000,0,4,.000,0,2,.000,8,9,.889,2,7,9,1,1,0,1,1,8
3,Saben Lee,26,2,7,.286,0,4,.000,2,3,.667,2,2,1.000,1,2,3,0,0,0,2,3,8
4,Ejike Obinna,15,1,2,.500,1,2,.500,0,0,,0,2,.000,0,2,2,0,0,0,2,4,2
5,Payton Willis,23,0,6,.000,0,2,.000,0,4,.000,2,2,1.000,0,6,6,0,1,0,1,0,2
6,Clevon Brown,14,1,3,.333,1,1,1.000,0,2,.000,1,1,1.000,0,2,2,0,1,1,1,1,3
7,Djery Baptiste,13,1,1,1.000,1,1,1.000,0,0,,2,2,1.000,1,1,2,0,0,1,1,1,4
8,Joe Toye,12,1,6,.167,1,2,.500,0,4,.000,1,2,.500,1,0,1,1,0,0,2,2,3
9,Larry Austin Jr.,11,3,4,.750,3,4,.750,0,0,,2,2,1.000,1,2,3,1,0,1,0,1,8
