,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Justin Robinson,37,11,17,.647,9,14,.643,2,3,.667,8,14,.571,1,2,3,4,1,0,5,2,32
1,Justin Bibbs,37,4,8,.500,4,6,.667,0,2,.000,3,4,.750,0,3,3,2,0,0,1,0,11
2,Devin Wilson,24,3,4,.750,3,4,.750,0,0,,0,2,.000,0,3,3,1,0,0,0,4,6
3,Kerry Blackshear Jr.,21,7,10,.700,6,9,.667,1,1,1.000,3,4,.750,1,3,4,1,0,0,0,4,18
4,Nickeil Alexander-Walker,16,1,2,.500,1,1,1.000,0,1,.000,1,2,.500,0,3,3,2,2,0,2,4,3
5,Chris Clarke,27,4,5,.800,4,5,.800,0,0,,1,2,.500,1,3,4,1,2,0,1,0,9
6,Ahmed Hill,16,2,5,.400,2,2,1.000,0,3,.000,0,0,,0,3,3,0,1,0,0,0,4
7,P.J. Horne,11,1,1,1.000,1,1,1.000,0,0,,0,1,.000,0,0,0,0,0,0,0,1,2
8,Wabissa Bede,8,0,0,,0,0,,0,0,,0,0,,1,1,2,1,0,0,2,1,0
9,Tyrie Jackson,3,0,0,,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0
