,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Daxter Miles Jr.,37,8,15,.533,2,6,.333,6,9,.667,0,0,,2,2,4,1,2,0,4,1,22
1,Jevon Carter,37,6,17,.353,3,11,.273,3,6,.500,0,1,.000,2,4,6,7,2,0,5,5,15
2,Esa Ahmad,30,1,3,.333,1,2,.500,0,1,.000,0,0,,2,1,3,2,0,0,2,3,2
3,Sagaba Konate,25,4,10,.400,4,10,.400,0,0,,1,1,1.000,0,6,6,0,0,3,1,3,9
4,Wesley Harris,18,2,2,1.000,1,1,1.000,1,1,1.000,0,0,,1,5,6,1,0,0,0,3,5
5,Lamont West,22,4,7,.571,1,1,1.000,3,6,.500,0,0,,0,0,0,0,0,0,0,2,11
6,James Bolden,12,2,6,.333,1,3,.333,1,3,.333,0,0,,1,0,1,0,0,0,0,1,5
7,Logan Routt,9,0,1,.000,0,1,.000,0,0,,0,0,,1,0,1,1,0,0,0,4,0
8,Maciej Bender,7,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0
9,Teddy Allen,3,0,0,,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,2,0
