,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Landry Shamet,23,5,9,.556,1,3,.333,4,6,.667,2,2,1.000,1,2,3,4,2,0,1,0,16
1,Rashard Kelly,21,3,4,.750,3,4,.750,0,0,,0,0,,5,5,10,5,0,0,1,2,6
2,Shaquille Morris,20,4,8,.500,4,6,.667,0,2,.000,4,5,.800,2,0,2,3,1,0,1,1,12
3,Austin Reaves,20,3,7,.429,0,0,,3,7,.429,0,0,,0,1,1,2,0,0,1,1,9
4,Zach Brown,14,2,4,.500,1,2,.500,1,2,.500,1,1,1.000,0,2,2,1,0,0,2,2,6
5,Markis McDuffie,20,2,8,.250,1,5,.200,1,3,.333,3,4,.750,1,3,4,2,0,0,0,1,8
6,Conner Frankamp,17,4,6,.667,0,1,.000,4,5,.800,2,2,1.000,0,3,3,1,0,0,0,1,14
7,Rauno Nurger,17,3,5,.600,3,4,.750,0,1,.000,1,2,.500,0,0,0,3,0,0,0,2,7
8,Darral Willis Jr.,15,4,6,.667,3,4,.750,1,2,.500,1,1,1.000,1,2,3,1,0,2,0,0,10
9,C.J. Keyser,12,0,0,,0,0,,0,0,,0,0,,0,4,4,0,0,0,0,3,0
10,Samajae Haynes-Jones,10,2,4,.500,2,4,.500,0,0,,0,1,.000,0,1,1,2,0,0,1,3,4
11,Asbjorn Midtgaard,5,1,2,.500,1,2,.500,0,0,,1,2,.500,0,1,1,0,0,0,0,0,3
12,Kaelen Malone,2,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0
13,Brycen Bush,2,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0
14,Brett Barney,2,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
