,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Loudon Love,35,6,10,.600,6,10,.600,0,0,,2,6,.333,3,6,9,1,2,0,4,3,14
1,Jaylon Hall,33,4,8,.500,3,5,.600,1,3,.333,7,8,.875,0,4,4,5,1,0,2,2,16
2,Grant Benzinger,29,2,5,.400,2,2,1.000,0,3,.000,2,2,1.000,1,8,9,1,2,0,2,4,6
3,Parker Ernsthausen,17,2,2,1.000,2,2,1.000,0,0,,3,4,.750,2,1,3,1,0,1,1,4,7
4,Adam Giles,2,0,0,,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0
5,Cole Gentry,33,8,13,.615,5,7,.714,3,6,.500,2,2,1.000,0,3,3,1,2,0,3,4,21
6,Mark Hughes,32,5,10,.500,0,0,,5,10,.500,0,2,.000,0,2,2,2,3,1,6,3,15
7,Tye Wilburn,15,2,2,1.000,2,2,1.000,0,0,,0,0,,1,2,3,5,2,0,1,1,4
8,Trey Stacey,2,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
9,Alan Vest,2,0,1,.000,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0
