,Name,Number,Year,Position,Height,Weight,Hometown,High School,PPG,RPG,APG
0,Jordan Evans,3,JR,SG,6-2,165,"Waco, TX",, 14.7 Pts,3.0 Reb,2.0 Ast
1,Dante Scott,1,,SF,6-4,210,"Miami, FL",, 14.9 Pts,5.6 Reb,1.9 Ast
2,Gemaal Davis,15,JR,SF,6-4,178,"Queens, NY",, 5.3 Pts,2.4 Reb,0.5 Ast
3,Emmanuel Ejeh,10,JR,C,6-8,220,Nigeria,, 4.6 Pts,5.6 Reb,0.4 Ast
4,Lorenzo Hunt,12,SO,SF,6-4,195,"Memphis, TN",Mitchell High School, 4.1 Pts,2.3 Reb,0.6 Ast
5,Nate Nahimy,22,JR,PG,6-2,182,"Houston, TX",, 4.2 Pts,1.4 Reb,1.4 Ast
6,Arinze Anakwenze,21,JR,F,6-6,195,"Los Angeles, CA",, 3.7 Pts,2.9 Reb,0.5 Ast
7,Kylan Phillips,11,,G,5-11,164,"Memphis, TN",Mitchell HS, 4.3 Pts,2.5 Reb,1.3 Ast
8,Tereke Eckwood,5,JR,PG,6-2,175,"FAYETTEVILLE, AR",, 6.6 Pts,2.6 Reb,1.9 Ast
9,Jeffery Lewis,0,FR,G,6-5,200,"Madison, MS",, 2.9 Pts,1.3 Reb,0.5 Ast
10,Davere Creighton,31,JR,F,6-6,263,"Brooklyn, NY",, 2.4 Pts,1.6 Reb,0.2 Ast
11,LaCurtis Allen,23,SR,SF,6-4,185,"Duck Hill, MS",, 2.1 Pts,1.5 Reb,0.3 Ast
12,Henry Taylor,24,FR,G,6-4,173,"Gary, IN",, 1.1 Pts,0.6 Reb,0.3 Ast
13,Jamal Watson,33,SR,C,6-10,214,"Long Beach, CA",Lakewood HIgh School, 3.1 Pts,3.0 Reb,1.1 Ast
14,Kaleb Allison,32,FR,C,6-7,275,"Greenville, MS",, 1.0 Pts,1.0 Reb,0.1 Ast
15,Demontavious Davis,25,,G,6-0,163,,,,,
16,Tommie Purnell,2,,PG,5-8,,,,,,
17,Marcus Roberts,20,,F,6-6,195,,,,,
