,Name,Number,Year,Position,Height,Weight,Hometown,High School,PPG,RPG,APG
0,Devin Cannady,3,JR,G,6-1,180,"Mishawaka, IN",Marian High School, 16.7 Pts,5.4 Reb,1.7 Ast
1,Myles Stephens,12,JR,G,6-4,190,"Lawrenceville, NJ",The Pennington School (NJ) / St. Andrew's School (DE), 15.3 Pts,6.3 Reb,1.4 Ast
2,Amir Bell,5,SR,G,6-3,160,"East Brunswick, NJ",East Brunswick HS, 10.9 Pts,5.4 Reb,3.7 Ast
3,Sebastian Much,33,FR,F,6-8,225,"Laguna Niguel, CA",, 7.1 Pts,2.7 Reb,1.3 Ast
4,Jerome Desrosiers,22,FR,F,6-7,225,"St. Hyacinthe, PQ",, 6.2 Pts,2.7 Reb,1.0 Ast
5,Aaron Young,0,SR,G,6-0,170,"Falls Church, VA",Virginia Episcopal HS, 4.2 Pts,0.9 Reb,1.1 Ast
6,Ryan Schwieger,15,FR,G,6-6,200,"Matthews, NC",, 2.8 Pts,1.7 Reb,0.4 Ast
7,Richmond Aririguzoh,34,SO,C,6-9,220,"Ewing, NJ",Trenton Catholic Academy, 2.7 Pts,1.7 Reb,0.7 Ast
8,Alec Brennan,35,SR,F,6-11,235,"Weston, MA",Milton Academy, 2.2 Pts,0.7 Reb,0.3 Ast
9,Will Gladson,13,SO,F,6-10,255,"Chesterfield, MO",Chaminade College Preparatory School, 3.6 Pts,1.3 Reb,0.7 Ast
10,Mike LeBlanc,4,SR,F,6-6,185,"Dover, NH",New Hampton HS, 1.8 Pts,1.6 Reb,0.5 Ast
11,Jose Morales,2,SO,G,5-9,165,"Miramar, FL",Cardinal Gibbons High School, 2.3 Pts,0.6 Reb,0.5 Ast
12,Vittorio Reynoso-Avila,1,SO,F,6-5,200,"La Mirada, CA",La Mirada High School, 1.9 Pts,0.7 Reb,0.0 Ast
13,Elijah Barnes,23,,F,6-8,210,,, 1.8 Pts,2.0 Reb,0.1 Ast
14,Noah Bramlage,31,JR,F,6-7,240,"Glandorf, OH",Ottawa-Glandorf, 0.9 Pts,0.7 Reb,0.4 Ast
15,Charlie Bagin,10,FR,G,6-0,160,"Glen Ridge, NJ",, 0.4 Pts,0.1 Reb,0.1 Ast
16,Elias Berbari,11,JR,G,6-2,170,"Greenlawn, NY",Harborfields HIgh School, 0.3 Pts,0.0 Reb,0.0 Ast
