,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Herbert Jones,27,2,7,.286,2,7,.286,0,0,,4,6,.667,3,5,8,2,2,0,2,0,8
1,Kira Lewis Jr.,25,2,8,.250,1,5,.200,1,3,.333,2,2,1.000,0,2,2,1,1,1,0,0,7
2,Donta Hall,22,3,5,.600,3,5,.600,0,0,,5,6,.833,6,4,10,0,2,3,2,3,11
3,Dazon Ingram,17,4,9,.444,3,6,.500,1,3,.333,0,0,,2,3,5,1,1,0,2,3,9
4,Tevin Mack,16,1,4,.250,1,3,.333,0,1,.000,2,2,1.000,2,2,4,1,1,0,0,1,4
5,John Petty,27,6,10,.600,3,4,.750,3,6,.500,0,0,,0,1,1,1,1,0,0,1,15
6,Riley Norris,21,2,6,.333,1,3,.333,1,3,.333,2,2,1.000,1,0,1,2,1,0,1,3,7
7,Galin Smith,15,4,7,.571,4,7,.571,0,0,,2,4,.500,3,0,3,0,0,1,0,2,10
8,Avery Johnson Jr.,14,0,3,.000,0,1,.000,0,2,.000,0,0,,0,1,1,0,0,0,0,1,0
9,Alex Reese,11,1,4,.250,0,0,,1,4,.250,0,0,,0,1,1,0,0,2,2,1,3
10,Lawson Schaffer,3,0,1,.000,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,1,0
11,Britton Johnson,1,0,0,,0,0,,0,0,,0,0,,0,1,1,0,0,1,0,0,0
12,Tyler Barnes,1,0,1,.000,0,1,.000,0,0,,0,0,,0,0,0,0,0,1,0,0,0
