,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Makhtar Gueye,32,5,11,.455,5,10,.500,0,1,.000,2,2,1.000,6,3,9,1,0,2,2,3,12
1,Lewis Sullivan,28,7,11,.636,6,9,.667,1,2,.500,4,9,.444,4,4,8,0,1,0,3,3,19
2,Jalen Perry,17,3,5,.600,1,2,.500,2,3,.667,2,2,1.000,0,1,1,0,0,0,0,2,10
3,Jeremiah Bell,9,0,5,.000,0,4,.000,0,1,.000,0,0,,0,0,0,0,0,0,2,2,0
4,Wil Bathurst,6,0,2,.000,0,1,.000,0,1,.000,0,0,,0,2,2,0,0,0,0,1,0
5,Zack Bryant,37,6,15,.400,4,10,.400,2,5,.400,0,0,,1,5,6,2,0,0,1,5,14
6,Tavin Lovan,30,2,4,.500,2,4,.500,0,0,,2,2,1.000,1,4,5,1,1,0,0,0,6
7,Tyreek Scott-Grayson,28,4,10,.400,2,4,.500,2,6,.333,7,7,1.000,1,7,8,1,1,0,3,2,17
8,Tamell Pearson,10,0,2,.000,0,2,.000,0,0,,0,0,,1,0,1,1,0,0,0,1,0
9,Anderson McCoy,3,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
