,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Jacoby Ross,34,3,12,.250,0,7,.000,3,5,.600,1,2,.500,0,0,0,5,0,0,1,0,10
1,Reginald Gee,32,4,11,.364,2,6,.333,2,5,.400,2,6,.333,1,0,1,2,1,0,3,4,12
2,Kevin Holston,28,2,5,.400,0,2,.000,2,3,.667,1,2,.500,1,3,4,1,1,0,2,4,7
3,Ed Jones,20,0,5,.000,0,2,.000,0,3,.000,2,2,1.000,1,1,2,0,1,0,2,3,2
4,Fausto Pichardo,19,1,2,.500,1,2,.500,0,0,,2,2,1.000,1,1,2,0,1,0,3,5,4
5,Austin Rogers,25,2,2,1.000,2,2,1.000,0,0,,0,3,.000,0,4,4,2,1,0,1,0,4
6,Leon Daniels,16,4,5,.800,2,3,.667,2,2,1.000,0,2,.000,1,2,3,0,1,0,0,1,10
7,Branden Johnson,13,2,2,1.000,2,2,1.000,0,0,,2,2,1.000,0,3,3,0,1,0,1,0,6
8,Gene Davis,10,0,1,.000,0,0,,0,1,.000,0,0,,0,0,0,0,0,0,1,1,0
9,Tobi Ewuosho,3,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,3,2,0
