,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Cameron Healy,35,6,7,.857,1,1,1.000,5,6,.833,4,5,.800,0,5,5,2,1,0,2,1,21
1,Malachi De Sousa,31,7,11,.636,6,8,.750,1,3,.333,0,1,.000,1,5,6,2,1,3,1,1,15
2,Antonio Rizzuto,28,4,9,.444,0,0,,4,9,.444,1,2,.500,0,1,1,4,1,1,2,3,13
3,Adam Lulka,27,2,2,1.000,2,2,1.000,0,0,,1,2,.500,0,0,0,3,0,1,1,2,5
4,Brent Hank,9,0,1,.000,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0
5,Devonte Campbell,25,4,8,.500,2,3,.667,2,5,.400,3,3,1.000,2,3,5,1,0,1,1,2,13
6,Ahmad Clark,25,2,5,.400,1,1,1.000,1,4,.250,7,8,.875,0,3,3,8,5,1,3,3,12
7,Kendall Lauderdale,11,2,4,.500,2,4,.500,0,0,,1,1,1.000,1,2,3,0,1,0,2,3,5
8,Sasha French,6,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
9,Nick Fruscio,1,0,1,.000,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0
10,Rayshawn Miller,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
11,Reece Brooks,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
