,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Isaac Johnson,36,9,13,.692,9,12,.750,0,1,.000,4,9,.444,5,8,13,1,0,1,3,2,22
1,Justin Forrest,32,5,14,.357,3,11,.273,2,3,.667,2,4,.500,0,2,2,1,1,0,5,2,14
2,Ronshad Shabazz,28,7,14,.500,2,7,.286,5,7,.714,2,2,1.000,0,3,3,2,0,0,6,4,21
3,Hunter Seacat,19,0,2,.000,0,2,.000,0,0,,2,2,1.000,2,3,5,1,2,0,1,4,2
4,Tyrell Johnson,17,2,3,.667,1,2,.500,1,1,1.000,1,2,.500,0,2,2,0,0,0,0,5,6
5,O'Showen Williams,24,0,0,,0,0,,0,0,,1,3,.333,0,1,1,0,1,0,3,5,1
6,Joseph Battle,15,0,1,.000,0,1,.000,0,0,,2,2,1.000,2,4,6,0,0,0,2,2,2
7,Adrian Delph,13,1,1,1.000,0,0,,1,1,1.000,0,0,,0,2,2,2,0,0,1,2,3
8,Bennett Holley,12,0,2,.000,0,0,,0,2,.000,0,1,.000,0,2,2,0,0,0,0,2,0
9,Breki Gylfason,4,1,1,1.000,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,1,2
