,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Justin Coleman,30,3,6,.500,3,6,.500,0,0,,0,1,.000,0,3,3,4,0,0,2,2,6
1,Dylan Smith,29,0,4,.000,0,0,,0,4,.000,2,2,1.000,0,3,3,0,1,1,3,2,2
2,Brandon Randolph,27,5,9,.556,5,8,.625,0,1,.000,5,6,.833,1,3,4,1,2,1,2,3,15
3,Chase Jeter,25,9,15,.600,9,15,.600,0,0,,3,4,.750,2,4,6,0,0,0,3,0,21
4,Emmanuel Akot,18,0,1,.000,0,1,.000,0,0,,0,2,.000,0,6,6,0,0,1,1,1,0
5,Brandon Williams,23,1,7,.143,0,3,.000,1,4,.250,0,0,,0,5,5,3,0,0,1,1,3
6,Ryan Luther,22,1,6,.167,0,3,.000,1,3,.333,0,0,,4,2,6,2,0,1,1,2,3
7,Ira Lee,12,3,3,1.000,3,3,1.000,0,0,,1,2,.500,0,6,6,0,0,1,1,0,7
8,Devonaire Doutrive,8,1,2,.500,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,1,0,2
9,Alex Barcello,6,1,1,1.000,1,1,1.000,0,0,,0,0,,0,0,0,0,1,0,1,1,2
