,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Tra Holder,36,7,14,.500,3,6,.500,4,8,.500,4,5,.800,0,5,5,4,2,1,0,1,22
1,Kodi Justice,32,3,10,.300,2,4,.500,1,6,.167,0,0,,0,2,2,2,1,0,0,2,7
2,Shannon Evans II,31,6,13,.462,2,4,.500,4,9,.444,3,4,.750,0,3,3,3,0,1,2,3,19
3,Romello White,20,4,6,.667,4,6,.667,0,0,,2,5,.400,2,2,4,0,0,2,0,0,10
4,Vitaliy Shibel,9,1,4,.250,0,0,,1,4,.250,0,0,,0,2,2,0,0,1,0,3,3
5,Mickey Mitchell,26,1,5,.200,1,4,.250,0,1,.000,2,2,1.000,1,4,5,4,2,0,2,3,4
6,Remy Martin,22,0,6,.000,0,4,.000,0,2,.000,5,6,.833,1,3,4,2,2,0,3,1,5
7,De'Quon Lake,18,5,5,1.000,5,5,1.000,0,0,,0,0,,0,5,5,0,1,2,0,3,10
8,Kimani Lawrence,3,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
9,Jordan Salzman,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
10,Grant Fogerty,1,0,1,.000,0,0,,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0
11,Austin Witherill,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
