,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Daryl Macon,30,5,9,.556,1,2,.500,4,7,.571,2,2,1.000,0,3,3,8,2,0,1,2,16
1,Jaylen Barford,29,5,11,.455,3,6,.500,2,5,.400,4,5,.800,0,4,4,6,1,1,2,3,16
2,Anton Beard,26,5,10,.500,4,7,.571,1,3,.333,3,3,1.000,1,1,2,6,1,0,2,1,14
3,Adrio Bailey,25,7,8,.875,7,8,.875,0,0,,1,1,1.000,2,4,6,1,1,2,3,0,15
4,Trey Thompson,25,4,4,1.000,4,4,1.000,0,0,,0,0,,1,7,8,3,1,0,0,2,8
5,C.J. Jones,21,4,7,.571,2,2,1.000,2,5,.400,0,0,,0,3,3,1,0,0,0,0,10
6,Daniel Gafford,17,4,6,.667,4,6,.667,0,0,,2,5,.400,2,2,4,2,0,3,0,5,10
7,Darious Hall,12,1,4,.250,1,3,.333,0,1,.000,1,2,.500,1,2,3,0,1,0,2,4,3
8,Gabe Osabuohien,10,1,2,.500,1,2,.500,0,0,,0,2,.000,0,0,0,0,0,0,1,1,2
9,Jonathan Holmes,3,0,2,.000,0,1,.000,0,1,.000,1,2,.500,0,1,1,1,0,0,0,0,1
10,Jt Plummer,2,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
