,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Kris Bankston,36,4,5,.800,4,5,.800,0,0,,1,1,1.000,1,5,6,2,1,1,3,4,9
1,Rayjon Tucker,35,7,11,.636,5,8,.625,2,3,.667,5,6,.833,0,2,2,2,1,1,2,1,21
2,Nikola Maric,32,8,15,.533,8,14,.571,0,1,.000,2,6,.333,3,5,8,0,0,2,3,3,18
3,Deondre Burns,31,4,10,.400,4,8,.500,0,2,.000,0,0,,1,2,3,3,2,0,2,3,8
4,Dani Koljanin,6,1,1,1.000,1,1,1.000,0,0,,0,0,,0,0,0,1,0,0,0,1,2
5,Markquis Nowell,34,1,5,.200,1,4,.250,0,1,.000,1,2,.500,0,3,3,2,1,0,4,2,3
6,Jaizec Lottie,22,2,4,.500,2,3,.667,0,1,.000,1,2,.500,0,2,2,3,0,0,1,3,5
7,Damir Hadzic,3,0,2,.000,0,2,.000,0,0,,0,0,,0,0,0,0,0,0,1,1,0
8,Ryan Pippins,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
9,Terrell Curtis II,0,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
