,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Martaveous McKnight,35,6,15,.400,4,11,.364,2,4,.500,4,7,.571,0,4,4,2,5,0,0,0,18
1,Shaun Doss,29,4,7,.571,2,4,.500,2,3,.667,2,5,.400,0,2,2,2,0,1,1,3,12
2,Artavious McDyess,28,3,6,.500,3,6,.500,0,0,,0,1,.000,2,2,4,1,0,2,2,1,6
3,Charles Jackson,27,2,2,1.000,0,0,,2,2,1.000,0,0,,0,1,1,2,2,1,2,4,6
4,Marquell Carter,25,1,1,1.000,1,1,1.000,0,0,,0,1,.000,2,3,5,1,0,0,3,1,2
5,Marcus Wallace,15,3,4,.750,3,3,1.000,0,1,.000,0,0,,0,2,2,1,1,0,1,2,6
6,Terrance Banyard,14,1,4,.250,1,3,.333,0,1,.000,3,4,.750,1,1,2,0,0,0,1,1,5
7,Quamauri Hardy,12,0,3,.000,0,0,,0,3,.000,0,0,,0,0,0,2,1,0,0,1,0
8,Jordan McNair,6,0,2,.000,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0
9,Isaac Bassey,3,0,0,,0,0,,0,0,,1,2,.500,0,0,0,0,1,0,0,0,1
10,Cameron Posey,3,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,1,1,0,0
11,Chris Smith,3,0,1,.000,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,0,0
