,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Marquis Eaton,36,2,9,.222,2,6,.333,0,3,.000,4,5,.800,1,7,8,5,1,1,4,2,8
1,Ty Cockfield,34,7,13,.538,7,11,.636,0,2,.000,2,5,.400,0,4,4,4,0,0,4,2,16
2,Grantham Gillard,30,2,8,.250,0,1,.000,2,7,.286,3,4,.750,0,2,2,1,1,0,1,4,9
3,Malik Brevard,23,2,5,.400,1,4,.250,1,1,1.000,0,0,,4,5,9,0,0,0,4,3,5
4,Salif Boudie,18,2,3,.667,2,3,.667,0,0,,0,0,,2,0,2,0,0,0,1,3,4
5,Tristin Walley,24,3,5,.600,1,2,.500,2,3,.667,0,0,,3,2,5,0,0,0,1,2,8
6,Canberk Kus,15,1,4,.250,0,1,.000,1,3,.333,0,0,,1,2,3,1,1,1,1,2,3
7,J.J. Matthews,9,2,4,.500,2,4,.500,0,0,,0,0,,2,1,3,2,0,0,1,2,4
8,Kobe Wilson,9,1,4,.250,1,1,1.000,0,3,.000,0,0,,0,0,0,0,0,0,1,0,2
9,Jonathan Adams Jr.,2,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
