,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Tommy Funk,32,6,10,.600,3,4,.750,3,6,.500,1,1,1.000,0,3,3,6,1,0,3,2,16
1,Matt Wilson,29,0,3,.000,0,3,.000,0,0,,1,3,.333,1,10,11,0,0,0,3,1,1
2,Jordan Fox,18,1,5,.200,1,1,1.000,0,4,.000,0,0,,1,0,1,3,1,0,2,0,2
3,Alex King,17,0,4,.000,0,1,.000,0,3,.000,0,0,,0,2,2,0,1,0,0,0,0
4,Jacob Kessler,15,1,4,.250,0,1,.000,1,3,.333,0,0,,0,0,0,1,0,0,1,2,3
5,John Emezie,25,2,5,.400,0,0,,2,5,.400,0,1,.000,0,1,1,1,1,0,0,3,6
6,Lonnie Grayson,24,2,8,.250,1,4,.250,1,4,.250,1,2,.500,0,0,0,1,0,0,1,1,6
7,Josh Caldwell,18,4,5,.800,3,3,1.000,1,2,.500,0,0,,0,1,1,1,0,0,0,1,9
8,Aaron Duhart,9,1,2,.500,1,1,1.000,0,1,.000,1,1,1.000,0,0,0,0,0,0,0,0,3
9,Cayne Edwards,7,0,2,.000,0,2,.000,0,0,,0,0,,1,1,2,1,0,0,0,1,0
10,Tucker Blackwell,4,2,2,1.000,1,1,1.000,1,1,1.000,5,5,1.000,0,0,0,0,1,0,0,0,10
11,Ben Kinker,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
12,Mark Madden,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
