,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Terry Taylor,34,8,16,.500,8,14,.571,0,2,.000,1,1,1.000,2,5,7,3,1,1,1,2,17
1,Jarrett Givens,27,3,6,.500,0,0,,3,6,.500,2,2,1.000,2,3,5,1,3,0,1,0,11
2,Zach Glotta,26,4,8,.500,1,2,.500,3,6,.500,0,0,,0,0,0,1,1,0,2,1,11
3,Chris Porter-Bunton,21,3,7,.429,2,4,.500,1,3,.333,2,2,1.000,1,3,4,2,2,0,4,4,9
4,Steve Harris,18,5,6,.833,5,6,.833,0,0,,2,2,1.000,0,1,1,3,0,1,1,5,12
5,Antwuan Butler,23,2,3,.667,2,3,.667,0,0,,0,0,,0,2,2,2,0,0,0,2,4
6,Dayton Gumm,22,1,5,.200,0,1,.000,1,4,.250,0,0,,0,1,1,0,0,0,1,3,3
7,Jabari McGhee,20,4,7,.571,4,7,.571,0,0,,1,2,.500,4,3,7,2,1,1,2,1,9
8,Isaiah Hart,5,1,1,1.000,1,1,1.000,0,0,,0,0,,1,0,1,0,0,0,0,1,2
9,Richard Henderson,3,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
10,Ivan Cucak,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0
