,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Dylan Windler,33,6,9,.667,4,5,.800,2,4,.500,7,9,.778,1,8,9,2,1,0,2,2,21
1,Kevin McClain,26,5,12,.417,2,6,.333,3,6,.500,3,5,.600,0,1,1,3,2,0,1,2,16
2,Nick Hopkins,26,4,8,.500,1,3,.333,3,5,.600,0,0,,0,0,0,3,4,0,0,1,11
3,Grayson Murphy,17,4,4,1.000,3,3,1.000,1,1,1.000,0,0,,0,3,3,4,0,0,0,3,9
4,Nick Muszynski,17,3,6,.500,2,5,.400,1,1,1.000,1,2,.500,0,5,5,5,0,1,1,0,8
5,Michael Benkert,31,2,4,.500,0,0,,2,4,.500,0,0,,0,4,4,1,1,0,0,1,6
6,Adam Kunkel,20,2,6,.333,0,0,,2,6,.333,0,0,,0,0,0,3,1,0,1,1,6
7,Seth Adelsperger,16,1,5,.200,1,5,.200,0,0,,8,10,.800,3,0,3,1,1,0,0,3,10
8,Tate Pierson,6,1,2,.500,0,1,.000,1,1,1.000,0,0,,0,4,4,0,0,0,0,0,3
9,Derek Sabin,6,1,1,1.000,1,1,1.000,0,0,,1,2,.500,0,0,0,0,0,0,0,0,3
10,Michael Mayernick,2,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0
