,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Tyler Larkin,35,8,17,.471,7,13,.538,1,4,.250,4,7,.571,0,7,7,3,0,1,3,2,21
1,Isiah Saenz,34,2,13,.154,0,3,.000,2,10,.200,3,5,.600,1,3,4,4,0,0,2,2,9
2,Lavaris Duncan,28,5,10,.500,5,9,.556,0,1,.000,2,2,1.000,0,6,6,1,0,0,3,4,12
3,Mitchell Brown,21,1,2,.500,0,1,.000,1,1,1.000,0,0,,0,3,3,0,0,0,2,2,3
4,Kristijan Joksimovic,15,2,4,.500,0,0,,2,4,.500,3,3,1.000,0,2,2,0,0,0,1,0,9
5,Jovan Elezovic,10,3,3,1.000,1,1,1.000,2,2,1.000,0,0,,1,0,1,2,0,0,3,2,8
6,Baptiste Chazelas,10,2,2,1.000,2,2,1.000,0,0,,0,0,,2,5,7,0,0,0,1,0,4
7,Braylen Young,9,1,4,.250,0,0,,1,4,.250,0,0,,0,0,0,0,0,0,0,1,3
8,Dan Dickenson,9,1,4,.250,1,3,.333,0,1,.000,0,0,,0,0,0,1,1,0,0,0,2
9,Ryan Wilson,9,1,3,.333,1,1,1.000,0,2,.000,0,0,,0,1,1,0,0,0,0,0,2
10,Dalton Smyres,5,0,0,,0,0,,0,0,,0,0,,1,1,2,0,1,0,0,1,0
11,Nate Brown,5,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,2,0
12,Bryce Young,4,1,2,.500,1,2,.500,0,0,,0,1,.000,0,0,0,0,0,0,0,0,2
13,Milos Milosevic,3,1,2,.500,1,2,.500,0,0,,0,0,,1,0,1,0,0,0,1,0,2
14,Bryant Young,3,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
