,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Jordan Chatman,37,3,11,.273,1,3,.333,2,8,.250,4,6,.667,0,1,1,2,0,0,4,4,12
1,Jared Hamilton,28,1,4,.250,1,2,.500,0,2,.000,0,0,,0,0,0,1,0,0,0,1,2
2,Steffon Mitchell,24,0,3,.000,0,2,.000,0,1,.000,1,2,.500,4,3,7,1,1,1,2,2,1
3,Nik Popovic,19,3,10,.300,3,9,.333,0,1,.000,4,4,1.000,2,3,5,2,0,0,2,1,10
4,Chris Herren Jr.,16,1,4,.250,1,2,.500,0,2,.000,0,0,,1,2,3,1,1,0,1,0,2
5,Ky Bowman,35,7,12,.583,2,4,.500,5,8,.625,2,2,1.000,1,6,7,2,2,0,2,2,21
6,Jairus Hamilton,21,2,6,.333,2,5,.400,0,1,.000,2,3,.667,2,0,2,1,0,0,2,1,6
7,Luka Kraljevic,9,1,3,.333,1,3,.333,0,0,,0,0,,0,2,2,2,0,0,1,5,2
8,Vin Baker Jr.,7,0,0,,0,0,,0,0,,0,0,,0,2,2,0,0,0,1,2,0
9,Johncarlos Reyes,4,0,1,.000,0,1,.000,0,0,,0,2,.000,0,0,0,0,0,0,1,2,0
