,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Tyler Scanlon,37,6,12,.500,6,8,.750,0,4,.000,2,2,1.000,0,3,3,3,3,0,2,0,14
1,Max Mahoney,31,7,10,.700,7,10,.700,0,0,,2,7,.286,4,7,11,1,0,0,4,3,16
2,Javante McCoy,31,4,10,.400,3,7,.429,1,3,.333,4,4,1.000,0,2,2,2,0,1,3,1,13
3,Alex Vilarino,25,4,4,1.000,3,3,1.000,1,1,1.000,3,3,1.000,0,1,1,1,2,0,2,0,12
4,Sukhmail Mathon,15,2,4,.500,2,4,.500,0,0,,0,0,,2,3,5,0,1,0,1,0,4
5,Jonas Harper,19,2,4,.500,1,2,.500,1,2,.500,2,2,1.000,0,4,4,1,2,0,1,4,7
6,Andrew Petcash,16,0,2,.000,0,0,,0,2,.000,0,0,,0,2,2,1,1,1,1,2,0
7,Garrett Pascoe,14,1,2,.500,1,1,1.000,0,1,.000,0,1,.000,0,0,0,0,0,0,2,3,2
8,Fletcher Tynen,7,0,1,.000,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,1,0,0
9,Jack Hemphill,5,2,2,1.000,2,2,1.000,0,0,,0,0,,0,0,0,0,0,0,0,1,4
