,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Justin Turner,32,7,13,.538,5,9,.556,2,4,.500,4,4,1.000,0,2,2,3,2,0,1,0,20
1,Dylan Frye,30,5,9,.556,3,4,.750,2,5,.400,1,2,.500,0,2,2,4,1,0,3,2,13
2,Daeqwon Plowden,18,1,5,.200,1,3,.333,0,2,.000,0,0,,2,2,4,0,1,1,1,2,2
3,Demajeo Wiggins,18,0,3,.000,0,3,.000,0,0,,0,0,,0,6,6,0,1,0,3,0,0
4,Caleb Fields,15,1,3,.333,0,0,,1,3,.333,1,2,.500,2,0,2,0,0,0,0,1,4
5,Michael Laster,24,5,8,.625,3,6,.500,2,2,1.000,3,3,1.000,1,2,3,4,2,0,0,0,15
6,Jeffrey Uju,22,5,6,.833,5,5,1.000,0,1,.000,0,0,,1,5,6,1,0,0,1,1,10
7,Marlon Sierra,21,2,3,.667,1,2,.500,1,1,1.000,0,0,,0,3,3,2,2,0,0,0,5
8,Antwon Lillard,19,5,8,.625,2,3,.667,3,5,.600,0,0,,0,3,3,2,1,0,3,1,13
9,De Andre' Austin,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
