,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Byron Hawkins,36,3,7,.429,2,2,1.000,1,5,.200,6,6,1.000,0,1,1,5,0,0,0,4,13
1,Adam Grant,35,2,15,.133,1,7,.143,1,8,.125,2,2,1.000,0,1,1,0,0,0,2,2,7
2,Sabastian Townes,32,5,11,.455,3,7,.429,2,4,.500,6,9,.667,2,2,4,1,0,0,1,2,18
3,Juan Cardenas,20,2,4,.500,1,1,1.000,1,3,.333,0,0,,3,2,5,0,0,2,0,5,5
4,Taylor McHugh,17,0,1,.000,0,0,,0,1,.000,0,0,,0,3,3,1,0,0,1,2,0
5,Joe Kasperzyk,31,5,12,.417,4,10,.400,1,2,.500,4,4,1.000,2,6,8,4,1,0,3,4,15
6,Patrick Harding,19,1,1,1.000,1,1,1.000,0,0,,1,2,.500,1,4,5,0,1,0,2,5,3
7,Tanner Johnson,4,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0
8,Monty Urmilevicius,3,1,1,1.000,1,1,1.000,0,0,,0,0,,1,2,3,0,0,0,0,0,2
9,Nino Hernandez,3,0,1,.000,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,1,0
