,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Kimbal MacKenzie,34,1,8,.125,0,2,.000,1,6,.167,6,7,.857,1,4,5,4,1,0,1,0,9
1,Nate Sestina,33,6,9,.667,4,5,.800,2,4,.500,2,4,.500,0,10,10,0,0,3,2,2,16
2,Jimmy Sotos,28,3,9,.333,1,2,.500,2,7,.286,2,2,1.000,0,4,4,7,3,0,3,2,10
3,Avi Toomer,26,6,12,.500,3,5,.600,3,7,.429,2,3,.667,0,2,2,1,4,0,3,2,17
4,Bruce Moore,20,2,4,.500,1,2,.500,1,2,.500,0,0,,0,3,3,1,0,0,0,3,5
5,Ben Robertson,15,0,0,,0,0,,0,0,,0,2,.000,0,3,3,1,1,0,0,0,0
6,Andrew Funk,14,2,4,.500,0,0,,2,4,.500,0,0,,1,0,1,0,1,0,2,0,6
7,Walter Ellis,12,0,2,.000,0,1,.000,0,1,.000,0,0,,1,0,1,0,0,0,0,1,0
8,Paul Newman,9,1,1,1.000,1,1,1.000,0,0,,0,0,,1,1,2,0,0,1,0,4,2
9,Jordan Sechan,3,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
10,Nate Jones,3,0,3,.000,0,0,,0,3,.000,0,0,,0,0,0,0,0,0,0,0,0
11,Kahliel Spear,3,0,1,.000,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,1,0
