,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Kamar Baldwin,36,11,18,.611,8,11,.727,3,7,.429,3,4,.750,1,4,5,7,2,1,1,2,28
1,Sean McDermott,32,3,6,.500,1,1,1.000,2,5,.400,0,0,,1,7,8,0,1,0,2,2,8
2,Henry Baddley,31,2,6,.333,1,3,.333,1,3,.333,0,0,,1,5,6,0,2,1,0,3,5
3,Joey Brunk,24,4,8,.500,4,8,.500,0,0,,5,8,.625,4,1,5,2,1,1,2,2,13
4,Aaron Thompson,16,3,6,.500,3,4,.750,0,2,.000,0,0,,0,1,1,2,0,0,1,4,6
5,Paul Jorgensen,22,3,5,.600,2,3,.667,1,2,.500,1,3,.333,0,0,0,1,2,0,1,2,8
6,Jordan Tucker,16,1,4,.250,0,0,,1,4,.250,0,0,,0,4,4,1,1,0,1,2,3
7,Nate Fowler,13,3,7,.429,0,0,,3,7,.429,2,2,1.000,0,0,0,0,2,0,1,3,11
8,Christian David,7,0,0,,0,0,,0,0,,0,0,,0,0,0,1,1,0,0,3,0
9,Jerald Gillens-Butler,1,1,1,1.000,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2
10,Bryce Golden,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
11,Campbell Donovan,1,0,0,,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0
