,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Mark Crowe,42,6,9,.667,0,1,.000,6,8,.750,0,1,.000,1,4,5,1,2,1,6,1,18
1,Marcellus Garrick,31,3,13,.231,2,5,.400,1,8,.125,3,4,.750,2,2,4,1,3,0,3,4,10
2,Donovan Fields,25,7,15,.467,5,7,.714,2,8,.250,2,2,1.000,0,2,2,2,3,0,4,4,18
3,Hank Hollingsworth,15,1,1,1.000,1,1,1.000,0,0,,0,0,,1,2,3,0,0,1,0,3,2
4,Daxton Carr,10,0,2,.000,0,0,,0,2,.000,0,0,,0,1,1,0,1,0,0,3,0
5,Job Alexander,27,2,4,.500,2,4,.500,0,0,,0,0,,0,0,0,4,1,0,2,2,4
6,Junior Ballard,23,3,10,.300,3,6,.500,0,4,.000,2,3,.667,1,6,7,1,0,0,1,3,8
7,Karlis Garoza,21,1,2,.500,1,2,.500,0,0,,1,2,.500,2,2,4,1,1,0,1,3,3
8,Tuukka Jaakkola,21,1,2,.500,1,2,.500,0,0,,0,0,,1,3,4,1,0,1,0,4,2
9,Kuba Niziol,10,2,4,.500,1,2,.500,1,2,.500,0,0,,0,2,2,1,0,0,3,2,5
